Id,Label,female,body,sexual,face,skin,objectifies,python_pagerank,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,chanelofficial,hm,jacquemus,sheinofficial,Degree,Weighted Degree,stat_inf_class,clustering,triangles
shadow,shadow,0.03353,0.040708,0.000289,0.931034,0.16195,0.482759,0.150328,0,0.001483,2,0.572831,0.627142,1520.461626,0.034483,0.258621,0.534483,0.172414,373,0.002805,208,0.347781,23999
shake,shake,0.025565,0.031917,0,1,0.067783,0.444444,0.150059,7,0.000263,3,0.505369,0.514051,1.489027,0,0,0,1,48,0.000497,129,0.884366,956
shape,shape,0.020609,0.049031,0.000633,0.96875,0.323909,0.40625,0.150124,9,0.000991,2,0.546033,0.584304,614.847063,0.09375,0.625,0,0.28125,248,0.001029,117,0.448537,13627
shapewear,shapewear,0.023466,0.043929,0,1,0.877938,1,0.15006,7,0.000241,2,0.506773,0.513365,1.915712,0,0,0,1,41,0.000511,263,0.842308,657
shaping,shaping,0.026035,0.063014,0,0.333333,0.021718,0.666667,0.150017,7,0.000201,3,0.501547,0.506968,0.033021,0,1,0,0,28,0.000142,151,0.97151,341
share,share,0.030406,0.050292,0,0.871795,0.27505,0.564103,0.150206,0,0.000935,2,0.543389,0.579849,399.895273,0.205128,0,0.794872,0,235,0.001755,212,0.476358,12986
sheer,sheer,0.022578,0.056802,0,0.75,0.188696,0.166667,0.150051,9,0.000759,2,0.533065,0.562029,249.749175,0.25,0.75,0,0,183,0.000428,283,0.508409,8374
shein,shein,0.025939,0.038044,0,0.97561,0.365432,0.487805,0.150202,7,0.000846,2,0.536594,0.568197,378.484331,0,0,0,1,201,0.001683,135,0.454573,9046
sheinofficial,sheinofficial,0.029904,0.037224,0.000067,0.962963,0.261637,0.564815,0.150658,7,0.001909,2,0.593814,0.657985,3825.503898,0,0,0,1,463,0.005372,140,0.253364,26981
shenzhen,shenzhen,0.01573,0.021509,0,1,0.278976,0.166667,0.150046,5,0.000615,2,0.525766,0.549006,72.74133,1,0,0,0,145,0.000374,167,0.665404,6851
shift,shift,0.006676,0.00713,0.002855,1,0.258281,0.136364,0.150013,5,0.000673,2,0.532287,0.560658,0.841975,0,0,1,0,179,0.000101,241,0.988574,15573
shine,shine,0.025809,0.052484,0,1,0.398761,0.4,0.150108,1,0.000836,2,0.537385,0.569568,274.89054,0,0.6,0,0.4,205,0.000899,139,0.507824,10515
shirt,shirt,0.033811,0.076118,0.00123,0.947195,0.175946,0.30363,0.150789,9,0.003832,2,0.748589,0.832077,19385.018083,0.062706,0.442244,0.382838,0.112211,971,0.006571,39,0.165953,77992
shirtless,shirtless,0.028343,0.087911,0,1,0.431757,1,0.150039,6,0.000271,3,0.507832,0.515878,6.482459,0,0,1,0,49,0.000341,41,0.758865,856
shoe,shoe,0.03175,0.065469,0.000552,0.87395,0.136208,0.352941,0.150469,4,0.002534,2,0.637118,0.715216,7081.252628,0.067227,0.462185,0.294118,0.176471,630,0.003953,74,0.226667,44768
shoot,shoot,0.046138,0.042635,0,0.941176,0.137585,0.352941,0.150218,6,0.000561,2,0.523314,0.544551,66.643654,0,0.029412,0.941176,0.029412,132,0.001852,192,0.615385,5240
shooting,shooting,0.030682,0.029687,0,0,0.198743,1,0.150025,0,0.000197,3,0.500515,0.506283,0.286471,0,0,1,0,28,0.000212,23,0.945869,332
shop,shop,0.037432,0.043462,0,1,0.186359,0.583333,0.150104,6,0.000448,3,0.516826,0.533013,26.902496,0,0.333333,0,0.666667,99,0.000935,100,0.708815,3369
short,short,0.030514,0.070556,0.000534,0.963235,0.219007,0.404412,0.150441,9,0.002863,2,0.668653,0.752228,9354.289761,0.147059,0.551471,0.227941,0.073529,738,0.0037,253,0.218877,59363
shoulder,shoulder,0.029018,0.089539,0.002475,0.962264,0.154836,0.207547,0.150222,9,0.001094,2,0.550151,0.591158,672.255114,0,0.943396,0.056604,0,268,0.001893,192,0.408859,14519
shout,shout,0.030836,0.030293,0,1,0.195866,1,0.15002,0,0.000211,3,0.502757,0.508682,0.09555,0,0,0,1,32,0.000166,153,0.950538,442
show,show,0.019268,0.033989,0.002469,0.92517,0.283927,0.129252,0.150299,5,0.002292,2,0.630783,0.707334,4851.940743,0.408163,0.115646,0.47619,0,607,0.002507,172,0.281341,51574
showcase,showcase,0.064648,0.057971,0,1,0.244224,0,0.150035,3,0.000217,3,0.502584,0.508568,7.266162,0,0.666667,0.333333,0,32,0.000314,75,0.658065,306
shygirl,shygirl,0.024736,0.035698,0,0.818182,0.053724,0.727273,0.150183,8,0.000279,3,0.508362,0.516907,5.86414,0,1,0,0,52,0.001794,96,0.79451,1013
side,side,0.037119,0.057058,0.000952,0.882022,0.213306,0.455056,0.150604,9,0.002827,2,0.657503,0.739548,8605.360242,0.044944,0.55618,0.286517,0.11236,701,0.005036,237,0.199595,48831
sight,sight,0.022203,0.019563,0,0.888889,0.316008,0.888889,0.150048,0,0.000233,3,0.505544,0.511652,0.456327,0,0,0,1,37,0.000399,220,0.931746,587
sign,sign,0.024851,0.035002,0,1,0.342044,0.25,0.150052,0,0.000598,2,0.523502,0.544894,181.603643,0.375,0,0.5,0.125,133,0.000449,187,0.492251,4256
signature,signature,0.025502,0.04671,0,1,0.194911,0.166667,0.150035,8,0.000353,2,0.512289,0.523989,11.638344,0.166667,0.833333,0,0,72,0.000298,154,0.78672,1955
silhouette,silhouette,0.021391,0.057268,0.001816,0.954545,0.164963,0.363636,0.150083,9,0.001119,2,0.55349,0.596642,655.907229,0.454545,0.5,0.045455,0,284,0.000683,277,0.43102,17199
silk,silk,0.017684,0.056629,0.000635,0.928571,0.077504,0.285714,0.150087,9,0.001099,2,0.552442,0.594928,591.950331,0.214286,0.785714,0,0,279,0.000719,270,0.445004,17134
silky,silky,0.026515,0.057265,0,1,0.173755,0.285714,0.150058,2,0.000415,3,0.514638,0.52913,33.559381,0.285714,0.714286,0,0,88,0.000504,54,0.661321,2474
silver,silver,0.036095,0.057945,0.000465,0.958188,0.307091,0.414634,0.150712,2,0.004053,2,0.768704,0.849554,22620.053494,0.219512,0.355401,0.191638,0.233449,1022,0.005912,256,0.157279,81897
simon,simon,0.014513,0.023515,0.002026,0.967742,0.289388,0.193548,0.150059,0,0.000911,2,0.545013,0.582591,217.882067,0,0,1,0,243,0.000488,91,0.689551,20108
